engineio.server, 912, 2022-09-15 16:53:54,912, Server initialized for eventlet., INFO
werkzeug, 915, 2022-09-15 16:53:54,915,  * Debugger is active!, WARNING
werkzeug, 920, 2022-09-15 16:53:54,920,  * Debugger PIN: 141-603-018, INFO
engineio.server, 821, 2022-09-15 16:54:30,821, 10a37ef518c3440a8990b6911b438cbf: Sending packet OPEN data {'sid': '10a37ef518c3440a8990b6911b438cbf', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 821, 2022-09-15 16:54:30,821, 10a37ef518c3440a8990b6911b438cbf: Sending packet MESSAGE data 0, INFO
engineio.server, 868, 2022-09-15 16:54:30,868, 10a37ef518c3440a8990b6911b438cbf: Received packet MESSAGE data 0/chat, INFO
engineio.server, 869, 2022-09-15 16:54:30,869, 10a37ef518c3440a8990b6911b438cbf: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 886, 2022-09-15 16:54:30,886, 10a37ef518c3440a8990b6911b438cbf: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 889, 2022-09-15 16:54:30,889, received event "joined" from 10a37ef518c3440a8990b6911b438cbf [/chat], INFO
socketio.server, 891, 2022-09-15 16:54:30,891, 10a37ef518c3440a8990b6911b438cbf is entering room room [/chat], INFO
socketio.server, 896, 2022-09-15 16:54:30,896, emitting event "status" to room [/chat], INFO
engineio.server, 898, 2022-09-15 16:54:30,898, 10a37ef518c3440a8990b6911b438cbf: Sending packet MESSAGE data 2/chat,["status",{"msg":"host\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 187, 2022-09-15 16:54:31,187, 10a37ef518c3440a8990b6911b438cbf: Received request to upgrade to websocket, INFO
engineio.server, 198, 2022-09-15 16:54:31,198, 10a37ef518c3440a8990b6911b438cbf: Upgrade to websocket successful, INFO
engineio.server, 407, 2022-09-15 16:54:33,407, 10a37ef518c3440a8990b6911b438cbf: Received packet MESSAGE data 2/chat,["text",{"msg":"test"}], INFO
socketio.server, 408, 2022-09-15 16:54:33,408, received event "text" from 10a37ef518c3440a8990b6911b438cbf [/chat], INFO
socketio.server, 412, 2022-09-15 16:54:33,412, emitting event "message" to room [/chat], INFO
engineio.server, 415, 2022-09-15 16:54:33,415, 10a37ef518c3440a8990b6911b438cbf: Sending packet MESSAGE data 2/chat,["message",{"msg":"host:test"}], INFO
engineio.server, 795, 2022-09-15 16:54:56,795, 10a37ef518c3440a8990b6911b438cbf: Received packet PING data None, INFO
engineio.server, 795, 2022-09-15 16:54:56,795, 10a37ef518c3440a8990b6911b438cbf: Sending packet PONG data None, INFO
engineio.server, 794, 2022-09-15 16:55:22,794, 10a37ef518c3440a8990b6911b438cbf: Received packet PING data None, INFO
engineio.server, 795, 2022-09-15 16:55:22,795, 10a37ef518c3440a8990b6911b438cbf: Sending packet PONG data None, INFO
engineio.server, 796, 2022-09-15 16:55:48,796, 10a37ef518c3440a8990b6911b438cbf: Received packet PING data None, INFO
engineio.server, 797, 2022-09-15 16:55:48,797, 10a37ef518c3440a8990b6911b438cbf: Sending packet PONG data None, INFO
engineio.server, 800, 2022-09-15 16:56:14,800, 10a37ef518c3440a8990b6911b438cbf: Received packet PING data None, INFO
engineio.server, 800, 2022-09-15 16:56:14,800, 10a37ef518c3440a8990b6911b438cbf: Sending packet PONG data None, INFO
engineio.server, 573, 2022-09-15 16:58:45,573, Server initialized for eventlet., INFO
werkzeug, 583, 2022-09-15 16:58:45,583,  * Restarting with stat, INFO
engineio.server, 457, 2022-09-15 16:58:46,457, Server initialized for eventlet., INFO
werkzeug, 461, 2022-09-15 16:58:46,461,  * Debugger is active!, WARNING
werkzeug, 466, 2022-09-15 16:58:46,466,  * Debugger PIN: 141-603-018, INFO
engineio.server, 115, 2022-09-15 16:58:47,115, 528b5ec62b1d4cb7b242716efc07656a: Sending packet OPEN data {'sid': '528b5ec62b1d4cb7b242716efc07656a', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 117, 2022-09-15 16:58:47,117, 528b5ec62b1d4cb7b242716efc07656a: Sending packet MESSAGE data 0, INFO
engineio.server, 127, 2022-09-15 16:58:47,127, 528b5ec62b1d4cb7b242716efc07656a: Received packet MESSAGE data 0/chat, INFO
engineio.server, 128, 2022-09-15 16:58:47,128, 528b5ec62b1d4cb7b242716efc07656a: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 140, 2022-09-15 16:58:47,140, 528b5ec62b1d4cb7b242716efc07656a: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 140, 2022-09-15 16:58:47,140, received event "joined" from 528b5ec62b1d4cb7b242716efc07656a [/chat], INFO
socketio.server, 141, 2022-09-15 16:58:47,141, 528b5ec62b1d4cb7b242716efc07656a is entering room room [/chat], INFO
socketio.server, 142, 2022-09-15 16:58:47,142, emitting event "status" to room [/chat], INFO
engineio.server, 143, 2022-09-15 16:58:47,143, 528b5ec62b1d4cb7b242716efc07656a: Sending packet MESSAGE data 2/chat,["status",{"msg":"host\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 454, 2022-09-15 16:58:47,454, 528b5ec62b1d4cb7b242716efc07656a: Received request to upgrade to websocket, INFO
engineio.server, 459, 2022-09-15 16:58:47,459, 528b5ec62b1d4cb7b242716efc07656a: Upgrade to websocket successful, INFO
engineio.server, 494, 2022-09-15 17:01:28,494, Server initialized for eventlet., INFO
engineio.server, 413, 2022-09-15 17:05:14,413, Server initialized for eventlet., INFO
werkzeug, 418, 2022-09-15 17:05:14,418,  * Restarting with stat, INFO
engineio.server, 189, 2022-09-15 17:05:15,189, Server initialized for eventlet., INFO
werkzeug, 193, 2022-09-15 17:05:15,193,  * Debugger is active!, WARNING
werkzeug, 199, 2022-09-15 17:05:15,199,  * Debugger PIN: 141-603-018, INFO
engineio.server, 369, 2022-09-15 17:05:15,369, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Sending packet OPEN data {'sid': '3fca1d4b33e9431f9bd5b1f72a85a4f1', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 373, 2022-09-15 17:05:15,373, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Sending packet MESSAGE data 0, INFO
engineio.server, 389, 2022-09-15 17:05:15,389, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Received packet MESSAGE data 0/chat, INFO
engineio.server, 392, 2022-09-15 17:05:15,392, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 401, 2022-09-15 17:05:15,401, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 403, 2022-09-15 17:05:15,403, received event "joined" from 3fca1d4b33e9431f9bd5b1f72a85a4f1 [/chat], INFO
socketio.server, 404, 2022-09-15 17:05:15,404, 3fca1d4b33e9431f9bd5b1f72a85a4f1 is entering room room [/chat], INFO
socketio.server, 404, 2022-09-15 17:05:15,404, emitting event "status" to room [/chat], INFO
engineio.server, 406, 2022-09-15 17:05:15,406, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Sending packet MESSAGE data 2/chat,["status",{"msg":"host\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 705, 2022-09-15 17:05:15,705, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Received request to upgrade to websocket, INFO
engineio.server, 726, 2022-09-15 17:05:15,726, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Upgrade to websocket successful, INFO
engineio.server, 791, 2022-09-15 17:05:40,791, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Received packet PING data None, INFO
engineio.server, 792, 2022-09-15 17:05:40,792, 3fca1d4b33e9431f9bd5b1f72a85a4f1: Sending packet PONG data None, INFO
werkzeug, 421, 2022-09-15 17:06:05,421,  * Detected change in 'C:\\dev\\chat_test2\\src\\app\\__init__.py', reloading, INFO
werkzeug, 947, 2022-09-15 17:06:05,947,  * Restarting with stat, INFO
engineio.server, 604, 2022-09-15 17:07:10,604, Server initialized for eventlet., INFO
engineio.server, 662, 2022-09-15 17:08:08,662, Server initialized for eventlet., INFO
engineio.server, 443, 2022-09-15 17:08:54,443, Server initialized for eventlet., INFO
engineio.server, 371, 2022-09-15 17:09:17,371, Server initialized for eventlet., INFO
engineio.server, 815, 2022-09-15 17:09:31,815, Server initialized for eventlet., INFO
werkzeug, 822, 2022-09-15 17:09:31,822,  * Restarting with stat, INFO
engineio.server, 616, 2022-09-15 17:09:32,616, Server initialized for eventlet., INFO
werkzeug, 620, 2022-09-15 17:09:32,620,  * Debugger is active!, WARNING
werkzeug, 626, 2022-09-15 17:09:32,626,  * Debugger PIN: 141-603-018, INFO
engineio.server, 367, 2022-09-15 17:10:09,367, Server initialized for eventlet., INFO
engineio.server, 135, 2022-09-15 17:16:40,135, Server initialized for eventlet., INFO
engineio.server, 272, 2022-09-15 17:17:03,272, Server initialized for eventlet., INFO
werkzeug, 279, 2022-09-15 17:17:03,279,  * Restarting with stat, INFO
engineio.server, 54, 2022-09-15 17:17:04,054, Server initialized for eventlet., INFO
werkzeug, 59, 2022-09-15 17:17:04,059,  * Debugger is active!, WARNING
werkzeug, 66, 2022-09-15 17:17:04,066,  * Debugger PIN: 141-603-018, INFO
engineio.server, 117, 2022-09-15 17:17:06,117, 3a112d3c1dcd4bc28cc1c01a53ab328f: Sending packet OPEN data {'sid': '3a112d3c1dcd4bc28cc1c01a53ab328f', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 122, 2022-09-15 17:17:06,122, 3a112d3c1dcd4bc28cc1c01a53ab328f: Sending packet MESSAGE data 0, INFO
engineio.server, 130, 2022-09-15 17:17:06,130, 3a112d3c1dcd4bc28cc1c01a53ab328f: Received packet MESSAGE data 0/chat, INFO
engineio.server, 131, 2022-09-15 17:17:06,131, 3a112d3c1dcd4bc28cc1c01a53ab328f: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 141, 2022-09-15 17:17:06,141, 3a112d3c1dcd4bc28cc1c01a53ab328f: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 141, 2022-09-15 17:17:06,141, received event "joined" from 3a112d3c1dcd4bc28cc1c01a53ab328f [/chat], INFO
socketio.server, 142, 2022-09-15 17:17:06,142, 3a112d3c1dcd4bc28cc1c01a53ab328f is entering room room [/chat], INFO
socketio.server, 143, 2022-09-15 17:17:06,143, emitting event "status" to room [/chat], INFO
engineio.server, 145, 2022-09-15 17:17:06,145, 3a112d3c1dcd4bc28cc1c01a53ab328f: Sending packet MESSAGE data 2/chat,["status",{"msg":"host\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 453, 2022-09-15 17:17:06,453, 3a112d3c1dcd4bc28cc1c01a53ab328f: Received request to upgrade to websocket, INFO
engineio.server, 463, 2022-09-15 17:17:06,463, 3a112d3c1dcd4bc28cc1c01a53ab328f: Upgrade to websocket successful, INFO
engineio.server, 336, 2022-09-15 17:17:56,336, Server initialized for eventlet., INFO
engineio.server, 1, 2022-09-15 17:31:10,001, Server initialized for eventlet., INFO
werkzeug, 9, 2022-09-15 17:31:10,009,  * Restarting with stat, INFO
engineio.server, 961, 2022-09-15 17:31:10,961, Server initialized for eventlet., INFO
werkzeug, 965, 2022-09-15 17:31:10,965,  * Debugger is active!, WARNING
werkzeug, 970, 2022-09-15 17:31:10,970,  * Debugger PIN: 141-603-018, INFO
engineio.server, 120, 2022-09-15 17:31:11,120, f983d79c6ffe4a28912e2d1731daeeab: Sending packet OPEN data {'sid': 'f983d79c6ffe4a28912e2d1731daeeab', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 123, 2022-09-15 17:31:11,123, f983d79c6ffe4a28912e2d1731daeeab: Sending packet MESSAGE data 0, INFO
engineio.server, 132, 2022-09-15 17:31:11,132, f983d79c6ffe4a28912e2d1731daeeab: Received packet MESSAGE data 0/chat, INFO
engineio.server, 133, 2022-09-15 17:31:11,133, f983d79c6ffe4a28912e2d1731daeeab: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 144, 2022-09-15 17:31:11,144, f983d79c6ffe4a28912e2d1731daeeab: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 145, 2022-09-15 17:31:11,145, received event "joined" from f983d79c6ffe4a28912e2d1731daeeab [/chat], INFO
socketio.server, 145, 2022-09-15 17:31:11,145, f983d79c6ffe4a28912e2d1731daeeab is entering room room [/chat], INFO
socketio.server, 145, 2022-09-15 17:31:11,145, emitting event "status" to room [/chat], INFO
engineio.server, 146, 2022-09-15 17:31:11,146, f983d79c6ffe4a28912e2d1731daeeab: Sending packet MESSAGE data 2/chat,["status",{"msg":"host\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 449, 2022-09-15 17:31:11,449, f983d79c6ffe4a28912e2d1731daeeab: Received request to upgrade to websocket, INFO
engineio.server, 467, 2022-09-15 17:31:11,467, f983d79c6ffe4a28912e2d1731daeeab: Upgrade to websocket successful, INFO
engineio.server, 802, 2022-09-15 17:31:36,802, f983d79c6ffe4a28912e2d1731daeeab: Received packet PING data None, INFO
engineio.server, 804, 2022-09-15 17:31:36,804, f983d79c6ffe4a28912e2d1731daeeab: Sending packet PONG data None, INFO
engineio.server, 794, 2022-09-15 17:32:02,794, f983d79c6ffe4a28912e2d1731daeeab: Received packet PING data None, INFO
werkzeug, 834, 2022-09-15 17:33:48,834,  * Detected change in 'C:\\dev\\chat_test2\\src\\app\\__init__.py', reloading, INFO
engineio.server, 603, 2022-09-15 17:33:50,603, f983d79c6ffe4a28912e2d1731daeeab: Sending packet PONG data None, INFO
engineio.server, 614, 2022-09-15 17:33:50,614, d0a55a2be72d455ca01c2bbbbbf3d94b: Sending packet OPEN data {'sid': 'd0a55a2be72d455ca01c2bbbbbf3d94b', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 615, 2022-09-15 17:33:50,615, d0a55a2be72d455ca01c2bbbbbf3d94b: Sending packet MESSAGE data 0, INFO
engineio.server, 618, 2022-09-15 17:33:50,618, 22c0da8f10e84c1792d96f3ebfe17a92: Sending packet OPEN data {'sid': '22c0da8f10e84c1792d96f3ebfe17a92', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 619, 2022-09-15 17:33:50,619, 22c0da8f10e84c1792d96f3ebfe17a92: Sending packet MESSAGE data 0, INFO
werkzeug, 37, 2022-09-15 17:33:51,037,  * Restarting with stat, INFO
engineio.server, 631, 2022-09-15 17:45:52,631, Server initialized for eventlet., INFO
werkzeug, 637, 2022-09-15 17:45:52,637,  * Restarting with stat, INFO
engineio.server, 454, 2022-09-15 17:45:53,454, Server initialized for eventlet., INFO
werkzeug, 458, 2022-09-15 17:45:53,458,  * Debugger is active!, WARNING
werkzeug, 463, 2022-09-15 17:45:53,463,  * Debugger PIN: 141-603-018, INFO
engineio.server, 616, 2022-09-15 17:45:53,616, 8d2019a4c9054f889b562400d4ae782f: Sending packet OPEN data {'sid': '8d2019a4c9054f889b562400d4ae782f', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 618, 2022-09-15 17:45:53,618, 8d2019a4c9054f889b562400d4ae782f: Sending packet MESSAGE data 0, INFO
engineio.server, 629, 2022-09-15 17:45:53,629, 8d2019a4c9054f889b562400d4ae782f: Received packet MESSAGE data 0/chat, INFO
engineio.server, 630, 2022-09-15 17:45:53,630, 8d2019a4c9054f889b562400d4ae782f: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 640, 2022-09-15 17:45:53,640, 8d2019a4c9054f889b562400d4ae782f: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 640, 2022-09-15 17:45:53,640, received event "joined" from 8d2019a4c9054f889b562400d4ae782f [/chat], INFO
socketio.server, 642, 2022-09-15 17:45:53,642, 8d2019a4c9054f889b562400d4ae782f is entering room room [/chat], INFO
socketio.server, 643, 2022-09-15 17:45:53,643, emitting event "status" to room [/chat], INFO
engineio.server, 644, 2022-09-15 17:45:53,644, 8d2019a4c9054f889b562400d4ae782f: Sending packet MESSAGE data 2/chat,["status",{"msg":"host\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 939, 2022-09-15 17:45:53,939, 8d2019a4c9054f889b562400d4ae782f: Received request to upgrade to websocket, INFO
engineio.server, 949, 2022-09-15 17:45:53,949, 8d2019a4c9054f889b562400d4ae782f: Upgrade to websocket successful, INFO
engineio.server, 563, 2022-09-15 17:46:07,563, b292556464224820ba8e305258adbb13: Sending packet OPEN data {'sid': 'b292556464224820ba8e305258adbb13', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 563, 2022-09-15 17:46:07,563, b292556464224820ba8e305258adbb13: Sending packet MESSAGE data 0, INFO
engineio.server, 606, 2022-09-15 17:46:07,606, b292556464224820ba8e305258adbb13: Received packet MESSAGE data 0/chat, INFO
engineio.server, 607, 2022-09-15 17:46:07,607, b292556464224820ba8e305258adbb13: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 643, 2022-09-15 17:46:07,643, b292556464224820ba8e305258adbb13: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 643, 2022-09-15 17:46:07,643, received event "joined" from b292556464224820ba8e305258adbb13 [/chat], INFO
socketio.server, 646, 2022-09-15 17:46:07,646, b292556464224820ba8e305258adbb13 is entering room room [/chat], INFO
socketio.server, 653, 2022-09-15 17:46:07,653, emitting event "status" to room [/chat], INFO
engineio.server, 657, 2022-09-15 17:46:07,657, b292556464224820ba8e305258adbb13: Sending packet MESSAGE data 2/chat,["status",{"msg":"host\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 922, 2022-09-15 17:46:07,922, b292556464224820ba8e305258adbb13: Received request to upgrade to websocket, INFO
engineio.server, 934, 2022-09-15 17:46:07,934, b292556464224820ba8e305258adbb13: Upgrade to websocket successful, INFO
engineio.server, 986, 2022-09-15 17:46:12,986, 4eb03126434f46719bb815defd3f4d3d: Sending packet OPEN data {'sid': '4eb03126434f46719bb815defd3f4d3d', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 987, 2022-09-15 17:46:12,987, 4eb03126434f46719bb815defd3f4d3d: Sending packet MESSAGE data 0, INFO
engineio.server, 41, 2022-09-15 17:46:13,041, 4eb03126434f46719bb815defd3f4d3d: Received packet MESSAGE data 0/chat, INFO
engineio.server, 42, 2022-09-15 17:46:13,042, 4eb03126434f46719bb815defd3f4d3d: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 71, 2022-09-15 17:46:13,071, 4eb03126434f46719bb815defd3f4d3d: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 71, 2022-09-15 17:46:13,071, received event "joined" from 4eb03126434f46719bb815defd3f4d3d [/chat], INFO
socketio.server, 74, 2022-09-15 17:46:13,074, 4eb03126434f46719bb815defd3f4d3d is entering room room [/chat], INFO
socketio.server, 75, 2022-09-15 17:46:13,075, emitting event "status" to room [/chat], INFO
engineio.server, 77, 2022-09-15 17:46:13,077, b292556464224820ba8e305258adbb13: Sending packet MESSAGE data 2/chat,["status",{"msg":"client\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 87, 2022-09-15 17:46:13,087, 4eb03126434f46719bb815defd3f4d3d: Sending packet MESSAGE data 2/chat,["status",{"msg":"client\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 360, 2022-09-15 17:46:13,360, 4eb03126434f46719bb815defd3f4d3d: Received request to upgrade to websocket, INFO
engineio.server, 371, 2022-09-15 17:46:13,371, 4eb03126434f46719bb815defd3f4d3d: Upgrade to websocket successful, INFO
engineio.server, 589, 2022-09-15 17:46:32,589, b292556464224820ba8e305258adbb13: Received packet PING data None, INFO
engineio.server, 790, 2022-09-15 17:47:36,790, b292556464224820ba8e305258adbb13: Sending packet PONG data None, INFO
engineio.server, 804, 2022-09-15 17:47:36,804, 4eb03126434f46719bb815defd3f4d3d: Unexpected error "timed out", closing connection, INFO
engineio.server, 808, 2022-09-15 17:47:36,808, 3423633d692641b1934f7d0b30cc7879: Sending packet OPEN data {'sid': '3423633d692641b1934f7d0b30cc7879', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 809, 2022-09-15 17:47:36,809, 3423633d692641b1934f7d0b30cc7879: Sending packet MESSAGE data 0, INFO
engineio.server, 832, 2022-09-15 17:47:36,832, 3423633d692641b1934f7d0b30cc7879: Received packet MESSAGE data 0/chat, INFO
engineio.server, 836, 2022-09-15 17:47:36,836, 3423633d692641b1934f7d0b30cc7879: Sending packet MESSAGE data 0/chat, INFO
engineio.server, 842, 2022-09-15 17:47:36,842, 3423633d692641b1934f7d0b30cc7879: Received packet MESSAGE data 2/chat,["joined",{}], INFO
socketio.server, 843, 2022-09-15 17:47:36,843, received event "joined" from 3423633d692641b1934f7d0b30cc7879 [/chat], INFO
socketio.server, 844, 2022-09-15 17:47:36,844, 3423633d692641b1934f7d0b30cc7879 is entering room room [/chat], INFO
socketio.server, 844, 2022-09-15 17:47:36,844, emitting event "status" to room [/chat], INFO
engineio.server, 845, 2022-09-15 17:47:36,845, 3423633d692641b1934f7d0b30cc7879: Sending packet MESSAGE data 2/chat,["status",{"msg":"client\ub2d8\uc774 \uc785\uc7a5\ud558\uc168\uc2b5\ub2c8\ub2e4"}], INFO
engineio.server, 137, 2022-09-15 17:47:37,137, 3423633d692641b1934f7d0b30cc7879: Received request to upgrade to websocket, INFO
engineio.server, 157, 2022-09-15 17:47:37,157, 3423633d692641b1934f7d0b30cc7879: Upgrade to websocket successful, INFO
engineio.server, 301, 2022-09-15 18:00:02,301, Server initialized for eventlet., INFO
werkzeug, 307, 2022-09-15 18:00:02,307,  * Restarting with stat, INFO
engineio.server, 220, 2022-09-15 18:00:03,220, Server initialized for eventlet., INFO
werkzeug, 223, 2022-09-15 18:00:03,223,  * Debugger is active!, WARNING
werkzeug, 228, 2022-09-15 18:00:03,228,  * Debugger PIN: 141-603-018, INFO
engineio.server, 118, 2022-09-15 18:00:04,118, e9c05248b9994aa7ae5bb933105067e3: Sending packet OPEN data {'sid': 'e9c05248b9994aa7ae5bb933105067e3', 'upgrades': ['websocket'], 'pingTimeout': 60000, 'pingInterval': 25000}, INFO
engineio.server, 119, 2022-09-15 18:00:04,119, e9c05248b9994aa7ae5bb933105067e3: Sending packet MESSAGE data 0, INFO
